verb.en-us,verb.ko-kr,object.id,object.definition.extensions.url
viewed,접속,사이버연수원,/home
viewed,접속,교육리스트,/Lecture
viewed,접속,러닝메이커,/Sam
viewed,접속,마이크로러닝,/imgCategory
viewed,접속,필드&포럼,/Hclass
viewed,접속,마이페이지,/classroom
viewed,접속,마이페이지,/dashboard
viewed,접속,마이페이지,/imgClassroom
viewed,접속,러닝플랫폼,/KnowledgeLive
viewed,접속,학습지원센터,"/Counsel, /Community"
viewed,접속,학습지원센터,/Community
viewed,접속,안내 페이지,/About
viewed,접속,이벤트,/event
viewed,접속,역량진단,/AbilityDiagnosis
viewed,접속,일정,/Schedule
viewed,접속,학습/복습,/Progress
viewed,접속,시험,/Exam
viewed,접속,WSQ과제,/Homework
viewed,접속,실습과제,/HomeworkDiscussion
viewed,접속,종합성적,/Result
viewed,접속,진단,/Diagnosis
viewed,접속,설문/수강후기,/Poll
viewed,접속,학습창,/Study
viewed,접속,학습 공지사항,/Notice
viewed,접속,학습 자료실,/Pds
viewed,접속,학습 자유게시판,/FreeTalk
viewed,접속,학습 Q&A,/QnA
